id,type,dc\.identifier,inScheme,notation,prefLabel,topConceptOf,definition,hasTopConcept,note
https://data.bodemenondergrond.vlaanderen.be/id/concept/observatieproceduretype/0,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.0,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,0,Onbekend,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/observatieproceduretype/1,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.1,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,1,Geleidbaarheidsmeter,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/observatieproceduretype/10,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.10,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,10,FAAS,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/observatieproceduretype/11,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.11,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,11,MS,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/observatieproceduretype/110,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.110,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,110,Zeving op massa met grootte <= 2mm (fijnkorrelig),https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/observatieproceduretype/111,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.111,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,111,Hydrometer met ijking Geotechniek,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/observatieproceduretype/112,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.112,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,112,D.m.v. Laserdiffractie,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/observatieproceduretype/113,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.113,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,113,Hydrometer,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/observatieproceduretype/115,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.115,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,115,Bepaling vloeigrens d.m.v. apparaat van Casagrande,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/observatieproceduretype/116,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.116,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,116,Bepaling vloeigrens d.m.v. de valconus,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/observatieproceduretype,null,null,null
