uri,dc.identifier,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
conceptscheme:observatieproceduretype,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.observatieproceduretype,,,Codelijst observatieproceduretype.,,,,,,,Beschrijving welke procedure.,,,,,,,,,,,,,
collectie:observatieproceduretypes,be.vlaanderen.bodemenondergrond.data.id.collection.observatieproceduretype.observatieproceduretypes,,,Collectie van observatieproceduretypes.,,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,
306,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.306,collectie:observatieproceduretypes,306,Aangenomen,,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
BOD_CHEM3,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.BOD_CHEM3,collectie:observatieproceduretypes,BOD_CHEM3,Aardewerk nieuwe methode organische koolstof,,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
BOD_CHEM2,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.BOD_CHEM2,collectie:observatieproceduretypes,BOD_CHEM2,Aardewerk oude methode organische koolstof,,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
8,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.8,collectie:observatieproceduretypes,8,AAS,,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
37,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.37,collectie:observatieproceduretypes,37,Afgeleid uit boring,,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
BOD_CHEM10,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.BOD_CHEM10,collectie:observatieproceduretypes,BOD_CHEM10,"AgTU with Ammoniumac. 0,1M, pH 7,0",,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
BOD_CHEM13,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.BOD_CHEM13,collectie:observatieproceduretypes,BOD_CHEM13,ANCA Mass spectrometer,,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
205,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.205,collectie:observatieproceduretypes,205,"Bepaling plasticiteitsindex, vloeigrens d.m.v. de valconus",,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
204,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.204,collectie:observatieproceduretypes,204,"Bepaling plasticiteitsindex, vloeigrens d.m.v. het apparaat van Casagrande",,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
117,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.117,collectie:observatieproceduretypes,117,Bepaling van de uitrolgrens,,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
115,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.115,collectie:observatieproceduretypes,115,Bepaling vloeigrens d.m.v. apparaat van Casagrande,,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
116,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.116,collectie:observatieproceduretypes,116,Bepaling vloeigrens d.m.v. de valconus,,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
19,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.19,collectie:observatieproceduretypes,19,Berekend,,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
BOD_TEX7,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.BOD_TEX7,collectie:observatieproceduretypes,BOD_TEX7,Berekend - fractie 0-6 µm op basis van Laserdiffractie bodem (Cmon analyseprotocol),,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
BOD_TEX9,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.BOD_TEX9,collectie:observatieproceduretypes,BOD_TEX9,Berekend - fractie 63-2000 µm op basis van Laserdiffractie bodem (Cmon analyseprotocol),,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
BOD_TEX8,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.BOD_TEX8,collectie:observatieproceduretypes,BOD_TEX8,Berekend - fractie 6-63 µm op basis van Laserdiffractie bodem (Cmon analyseprotocol),,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
BOD_FYS14,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.BOD_FYS14,collectie:observatieproceduretypes,BOD_FYS14,Berekend - Gemiddelde van Bulkdensiteit bepaald op basis van Kopeckyringen (Cmon analyseprotocol),,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
BOD_FYS15,be.vlaanderen.bodemenondergrond.data.id.concept.observatieproceduretype.BOD_FYS15,collectie:observatieproceduretypes,BOD_FYS15,Berekend - Gemiddelde van Bulkdensiteit bepaald op basis van Kopeckyringen en massa materiaal > 1 cm (Cmon analyseprotocol),,,,,,,,,,,,,conceptscheme:observatieproceduretype,,,,,,,conceptscheme:observatieproceduretype
